,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
15,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,181242,SARAH BUSH LINCOLN HEALTH CENTER,1305 W 18TH ST  PO BOX 5039,SIOUX FALLS,SD,48699,SD - Sioux Falls,20,23403.25,6996.95,5308.72
16,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,448068,GOOD SAMARITAN HOSPITAL,2620 N WESTWOOD BLVD,ROSWELL,OH,75151,OH - Cleveland,14,30134.31,6713.73,5561.46
17,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,255808,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,HYANNIS,MA,21615,NH - Lebanon,20,18543.66,7040.82,5214.46
18,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,31755,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,32549,AL - Birmingham,36,35020.1,5634.89,4305.76
19,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,300401,UMASS MEMORIAL MEDICAL CENTER INC,5 ALUMNI DRIVE,EXETER,CT,2957,NH - Manchester,26,17474.75,8105.61,4785.19
20,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,68575,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,6411 FANNIN,HOUSTON,TX,95512,TX - Houston,15,48284.96,6559.9,6592.53
21,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,21873,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",RENO,CA,82608,NV - Reno,16,38899.07,7319.28,4591.04
22,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,451745,GOOD SAMARITAN HOSPITAL,1200 PLEASANT STREET,HOUSTON,IL,75777,TX - Dallas,33,33113.19,7105.86,4895.7
23,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,42551,SIERRA MEDICAL CENTER,1625 MEDICAL CENTER DR,EL PASO,TX,69020,TX - Houston,15,67182.24,6609.56,3876.85
24,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,509735,THOMAS MEMORIAL HOSPITAL,4605 MACCORKLE AVE SW,SOUTH CHARLESTO,WV,80785,WV - Charleston,18,14047.33,5903.63,4549.68
25,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,206344,GOOD SAMARITAN HOSPITAL,44405 WOODWARD AVE,PORTLAND,MI,54825,NY - Albany,21,30071.8,7032.66,5226.89
26,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,125670,ELKHART GENERAL HOSPITAL,1800 E LAKE SHORE DR,DECATUR,OH,64465,MO - St. Louis,16,16098.46,5598.27,4284.31
27,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,170572,MERCY REGIONAL MEDICAL CENTER,3330 MASONIC DRIVE,ALEXANDRIA,OH,16281,IN - South Bend,18,21491.22,6502.3,4692.93
28,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,495894,ROCKINGHAM MEMORIAL HOSPITAL,"ONE HOSPITAL DRIVE, ROOM CE121, DC031,00",COLUMBIA,MO,56416,VA - Norfolk,16,18134.44,6322.02,4701.67
29,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,212733,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,CONCORD,MI,52737,MI - Ann Arbor,21,16878.55,7290.23,5608.6
30,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,459064,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD,KANSAS CITY,WI,56557,WI - Milwaukee,11,21797.77,6206.14,4776.46
31,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,453940,TRINITY ROCK ISLAND,929 N ST FRANCIS ST,KANSAS CITY,MO,49177,MO - Kansas City,16,14643.22,6345.46,4460.92
32,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,465856,BON SECOURS MARYVIEW MEDICAL CENTER,3400 MINISTRY PARKWAY,WESTON,WI,54857,VA - Arlington,36,15107.26,5697.57,4744.65
33,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,435011,NORTH MEMORIAL MEDICAL CENTER,3300 OAKDALE NORTH,ROBBINSDALE,MN,99508,MN - Minneapolis,12,18573.97,6523.53,5134.16
34,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,202236,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,13306,NC - Winston-Salem,32,18743.55,5936.26,5155.24
35,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,229438,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,CLEVELAND,MO,51717,MO - St. Louis,34,24571.97,5863.21,4840.57
36,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,194058,WESLEY MEDICAL CENTER,5000 HENNESSY BLVD,TULSA,NC,28884,NC - Durham,35,22194.4,6513.35,4649.26
37,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,496749,HENRICO DOCTORS' HOSPITAL,1602 SKIPWITH ROAD,SPRINGFIELD,WI,37798,WI - Milwaukee,41,30444.31,6190.62,4868.55
38,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,396290,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,81225,AR - Little Rock,16,24607.21,6840.12,4249.68
39,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,336149,ST JOSEPH HOSPITAL,2101 PEASE ST,HOUSTON,TX,90391,TX - Houston,15,32167.95,7793.21,5221.29
40,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,464193,ST JOSEPH MEDICAL CENTER,18101 LORAIN AVENUE,SPRINGFIELD,OH,67411,MO - Kansas City,17,25890.63,5656.2,4758.94
41,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,392442,SACRED HEART HOSPITAL,2800 GODWIN BOULEVARD,NORFOLK,VA,25933,VA - Norfolk,12,15560.6,5826.32,4827.54
42,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,362415,MCLAREN - GREATER LANSING,401 W GREENLAWN AVE,SALEM,MI,17760,MI - Detroit,18,19714.65,7337.89,5401.8
43,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,168530,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IL,60788,MO - St. Louis,11,19965.75,6248.37,5167.13
44,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,446078,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,SPRINGFIELD,OH,54870,MO - Kansas City,15,22113.5,5962.86,4413.17
45,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,121811,BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BLVD,BROOKSVILLE,FL,35266,FL - Hudson,16,60290.77,5817.93,4416.75
46,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,179287,"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,TULSA,DE,71869,DE - Wilmington,17,21225.2,5946.08,4624.3
47,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,482661,"CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC",19600 EAST 39TH STREET,SAINT LOUIS,MO,57088,MO - St. Louis,12,36137.07,5785.18,5313.52
48,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,132972,GOOD SAMARITAN HOSPITAL,800 W CENTRAL ROAD,CHICAGO,IL,80784,IL - Blue Island,18,33831.68,6705.55,4379.72
49,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,232197,MOUNT CLEMENS REGIONAL MEDICAL CENTER,1000 HARRINGTON BLVD,ALEXANDRIA,MI,65702,MN - Minneapolis,42,26046.37,5877.77,4830.77
50,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,225908,THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,CONCORD,PA,65828,PA - Philadelphia,38,12133.84,7096.36,5140.32
51,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,489539,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY ROAD,SAINT LOUIS,MO,67045,MO - St. Louis,11,26992.45,5560.68,4458.61
52,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,229335,EASTON HOSPITAL,250 SOUTH 21ST STREET,LEBANON,MO,47280,MO - St. Louis,20,25158.08,6250.79,4369.7
53,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,103353,DEKALB MEDICAL CENTER,2701 N DECATUR ROAD,ATLANTA,GA,31345,GA - Atlanta,47,31538.91,5793.95,4482.8
54,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,141239,SAINT JOHN'S HEALTH SYSTEM,2015 JACKSON ST,MOUNT VERNON,IN,37755,MS - Meridian,15,18899.74,6346.95,5321.65
55,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,218995,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,3600 FLORIDA STREET,TULSA,NC,28307,OK - Tulsa,20,17299.44,6213.23,4729.52
56,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,412238,METHODIST HOSPITAL,405 W JACKSON,CONCORD,TX,69671,TX - Dallas,35,30236.23,7107.18,5083.61
57,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,262957,GALICHIA HEART HOSPITAL LLC,2610 N WOODLAWN,WICHITA,KS,23805,KS - Topeka,16,14447.45,5950.43,3775.49
58,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,446381,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,COLUMBIA,TN,20466,SC - Charleston,13,21960.18,5506.48,4702.82
59,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230768,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,SCRANTON,PA,19793,PA - Scranton,16,15865.21,5505.45,5084.95
60,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,519604,GOOD SAMARITAN HOSPITAL,1500 S LAKE PARK AVE,JACKSON,OH,64260,OK - Oklahoma City,16,13457.81,5899.71,4800.83
61,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,347247,WILLIS KNIGHTON MEDICAL CENTER,PO BOX 3708 DUMC  ERWIN RD,CONCORD,NC,22952,NC - Durham,17,32477.87,5999.69,4713.31
62,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,61040,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,JACKSONVILLE,FL,14107,FL - Jacksonville,41,33413.68,5769.44,4371.19
63,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,82900,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,FAYETTEVILLE,FL,23183,FL - Orlando,16,26041.48,5682.23,4334.26
64,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,358350,ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,CT,1199,NH - Manchester,16,15625.0,8339.3,5841.77
65,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,456621,INTEGRIS BAPTIST MEDICAL CENTER,3300 NORTHWEST EXPRESSWAY,CINCINNATI,OH,71018,MO - St. Louis,14,26780.66,7212.76,4647.26
66,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,446244,TRIDENT MEDICAL CENTER,9330 MEDICAL PLAZA DR,CHARLESTON,SC,22890,SC - Charleston,40,19099.06,6018.59,4985.32
67,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,226271,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,BRIDGEPORT,NH,14796,NH - Manchester,14,14474.53,7679.44,4400.58
68,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,282494,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA,VA,48061,NE - Omaha,14,23537.32,6562.55,4927.4
69,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,456771,METHODIST HEALTHCARE MEMPHIS HOSPITALS,6800 SCENIC DR,ABILENE,FL,33509,TX - Houston,15,36724.16,6149.41,5011.64
70,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,102213,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,SAVANNAH,GA,28833,GA - Atlanta,43,24747.55,5855.17,3896.7
71,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,216251,ALTRU HOSPITAL,100 MICHIGAN ST NE,DALLAS,MI,60710,MI - Grand Rapids,16,18188.49,6467.93,4784.13
72,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,359211,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NJ,5374,NJ - Camden,14,30936.09,6565.38,6343.48
73,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,496470,SPALDING REGIONAL MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233,COLUMBIA,GA,26291,SC - Charleston,11,23754.43,5824.82,4479.22
74,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,142808,CHRISTUS HOSPITAL,2830 CALDER AVENUE,JACKSONVILLE,FL,24219,FL - Orlando,73,28536.95,5967.07,4213.38
75,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,169235,DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,34121,FL - Fort Lauderdale,14,25578.12,6420.22,4281.04
76,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,443642,DENTON REGIONAL MEDICAL CENTER,3535 SOUTH I35 EAST,KANSAS CITY,TX,77192,TX - Dallas,21,25626.42,6811.5,9399.43
77,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,386408,PROVIDENCE ST VINCENT MEDICAL CENTER,9205 SW BARNES ROAD,SPRINGFIELD,OR,11244,MN - Minneapolis,18,30136.56,6342.9,5139.93
78,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,467130,PLAZA MEDICAL CENTER OF FORT WORTH,900 EIGHTH AVENUE,FORT WORTH,TX,75500,TX - Dallas,13,31067.59,6915.98,5309.82
79,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,442646,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,NEWBURGH,OH,55509,KS - Topeka,17,25728.26,6173.69,4855.57
80,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,110182,BETHESDA MEMORIAL HOSPITAL,2815 S SEACREST BLVD,AURORA,TX,71924,FL - Tampa,17,23236.29,5748.88,4351.79
81,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,94107,GOOD SAMARITAN HOSPITAL,929 N ST FRANCIS ST,OKLAHOMA CITY,IN,40790,OH - Columbus,17,19548.26,5893.67,4549.82
82,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,453513,ODESSA REGIONAL HOSPITAL,520 E 6TH STREET,ODESSA,TX,82590,MN - Minneapolis,11,52545.91,6649.05,5255.15
83,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,528022,PRINCE WILLIAM HOSPITAL,8700 SUDLEY RD,MANASSAS,VA,42329,VA - Norfolk,12,19683.42,5712.52,4849.15
84,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,503543,ROCKINGHAM MEMORIAL HOSPITAL,"ONE HOSPITAL DRIVE, ROOM CE121, DC031,00",DANVILLE,VA,44631,VA - Charlottesville,12,14567.87,6047.05,5159.49
85,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,139384,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,GA,33320,GA - Atlanta,16,37148.67,5648.11,4481.69
86,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,443181,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,IL,42605,TX - Houston,44,29249.99,6631.74,4919.21
87,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,345783,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL ST,WEST CHESTER,PA,12237,PA - Philadelphia,18,28190.14,7792.01,5670.18
88,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,50459,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,87599,AZ - Phoenix,14,43432.52,6548.1,4732.85
89,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,317184,ST LUKES HOSPITAL,211 4TH STREET,ALEXANDRIA,OH,46499,LA - Alexandria,15,25231.9,6744.21,4491.11
90,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,243561,COMMUNITY MEDICAL CENTER,55 LAKE AVENUE NORTH,BRIDGEPORT,MA,4547,NH - Manchester,25,20939.21,6161.56,4450.82
91,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,444830,REGIONAL HOSPITAL OF JACKSON,367 HOSPITAL BLVD,COLUMBIA,TX,31085,SC - Charleston,15,33921.6,5778.41,4474.54
92,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,489179,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TX,23809,TN - Memphis,13,34315.04,5947.72,4904.2
93,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,107304,HARLINGEN MEDICAL CENTER,5501 SOUTH EXPRESSWAY 77,HARLINGEN,IL,93902,TX - Harlingen,15,41752.25,6545.33,5794.48
94,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,99834,SAINT JOHN'S HEALTH SYSTEM,2015 JACKSON ST,MERIDIAN,TN,25166,TN - Nashville,12,26004.26,5644.07,4760.55
95,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,456952,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,59917,MN - Minneapolis,17,29595.46,6710.96,4890.37
96,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,109316,HILLCREST HOSPITAL,2701 17TH ST,COLUMBIA,OH,28131,MO - Kansas City,11,24444.85,6426.33,4762.25
97,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,99372,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,ROME,GA,12589,GA - Rome,33,25360.01,5973.89,3906.09
98,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,209261,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,COVINGTON,LA,36693,PA - Pittsburgh,28,17692.54,5323.76,4456.39
99,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,291134,SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,175 MADISON AVE,VINELAND,NJ,73113,NJ - Camden,17,39944.01,6812.05,4693.57
100,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,38932,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,AL,35837,AL - Huntsville,89,19614.48,5669.33,4594.62
101,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,329298,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NJ,9698,NY - Manhattan,14,41252.4,11773.75,6675.29
102,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,326536,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,CT,1199,CT - Hartford,24,13516.78,8997.97,4844.55
103,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,248216,BERKSHIRE MEDICAL CENTER INC,725 NORTH STREET,PITTSFIELD,MA,3236,MA - Boston,19,26096.04,9329.85,6274.95
104,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,434133,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,GREENVILLE,TX,62187,SC - Greenville,23,33527.87,6196.34,5198.49
105,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,121941,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,69834,OH - Columbus,12,18537.87,6311.68,4730.6
106,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,342706,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,BELLEVILLE,MS,37944,MO - St. Louis,13,22171.14,6397.3,4655.38
107,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,83123,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,HOUSTON,TX,80353,TX - Houston,28,48848.68,6670.4,5647.18
108,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,392954,SACRED HEART HOSPITAL,ONE ST MARY PLACE,ALLENTOWN,LA,79480,PA - Allentown,18,22617.39,5774.69,4386.37
109,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,72330,GOOD SAMARITAN HOSPITAL,800 W BIESTERFIELD RD,CHICAGO,IL,43037,IL - Melrose Park,19,52019.47,6532.47,4982.54
110,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,262384,ST FRANCIS MEDICAL CENTER,155 MEMORIAL DRIVE,BRIDGEPORT,PA,15051,MO - St. Louis,32,26195.13,5708.9,5032.44
111,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,323472,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,13042,DC - Washington,12,20039.57,7492.6,9893.41
112,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,463565,CLEAR LAKE REGIONAL MEDICAL CENTER,500 MEDICAL CENTER BLVD,WEBSTER,TX,85780,TX - Dallas,15,40402.26,6291.77,5012.53
113,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,371535,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,900 23RD ST NW,ALLENTOWN,NJ,10043,NJ - Camden,15,19502.12,6325.37,4637.66
114,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,288730,YORK HOSPITAL,1001 SOUTH GEORGE STREET,YORK,MI,10469,PA - York,15,20986.0,6888.99,4622.68
115,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,225435,ROSWELL REGIONAL HOSPITAL,117 EAST 19TH STREET,PORTLAND,OH,80648,NM - Albuquerque,12,21327.62,7699.42,4727.55
116,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30427,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,SAINT PETERSBUR,AL,29482,AL - Huntsville,46,21584.6,6091.4,4766.42
117,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,351414,CHRISTUS SANTA ROSA HOSPITAL,333 N SANTA ROSA STREET,SYRACUSE,PA,8211,NY - Albany,28,29338.83,6252.67,5273.2
118,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,368381,OKLAHOMA HEART HOSPITAL SOUTH,5200 EAST I-240 SERVICE ROAD,OKLAHOMA CITY,OH,36994,OK - Oklahoma City,19,17426.05,6152.21,4581.14
119,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,501158,CHRISTIAN HOSPITAL NORTHEAST,11133 DUNN ROAD,SAINT LOUIS,MO,66089,MO - St. Louis,13,17498.84,5380.02,4509.29
120,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,130210,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,TX,82297,IL - Melrose Park,11,40399.43,7426.79,5834.73
121,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,97554,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,HOUSTON,TX,68338,TX - Houston,16,34431.84,7736.95,4650.98
122,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,294088,BERKSHIRE MEDICAL CENTER INC,725 NORTH STREET,SALEM,NE,27291,NE - Omaha,41,23667.27,7036.58,6278.91
123,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,88728,SISTERS OF CHARITY PROVIDENCE HOSPITALS,9330 MEDICAL PLAZA DR,JACKSONVILLE,FL,24485,FL - Jacksonville,42,41327.35,6021.38,4566.8
