,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
41,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,579116,GEORGE WASHINGTON UNIV HOSPITAL,1225 N STATE ST,SAN ANTONIO,OK,62621,IN - Munster,24,6751.2,5485.99,4614.3
42,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,143452,HALIFAX HEALTH MEDICAL CENTER,2001 KINGSLEY AVE,FREDERICK,MO,94903,IN - Terre Haute,41,35515.78,7658.31,6096.18
43,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,251983,DOCTORS HOSPITAL,9352 PARK WEST BLVD,GREENSBORO,WA,70400,IL - Rockford,41,27722.86,7296.38,7142.52
44,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,236409,OCHSNER FOUNDATION HOSPITAL,2010 BROOKWOOD MEDICAL CENTER DRIVE,PASADENA,AL,29273,PA - Philadelphia,70,15004.89,10177.05,8389.92
45,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,519639,WESLEY MEDICAL CENTER,1923 SOUTH UTICA AVENUE,TUCSON,OR,15687,ME - Bangor,38,8748.01,5543.6,4764.33
46,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,658891,ALBANY MEDICAL CENTER HOSPITAL,4311 EAST LOHMAN AVENUE,DETROIT,TX,53184,NH - Manchester,41,34707.54,9748.49,7894.96
47,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,138926,FEATHER RIVER HOSPITAL,550 N HILLSIDE ST,GRAND BLANC,VA,39724,WA - Spokane,45,21343.77,7055.26,4706.35
48,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,39977,NORTHEAST ALABAMA REGIONAL MED CENTER,81 HIGHLAND AVENUE,LEWES,AR,41407,CA - San Diego,29,17484.84,8025.03,7443.92
49,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,166345,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,407 E 3RD ST,OCEANSIDE,KY,54606,FL - Fort Lauderdale,45,39400.74,6255.79,5115.62
50,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,241499,AURORA ST LUKES MEDICAL CENTER,743 SPRING STREET,ROME,CA,2869,AR - Texarkana,51,20733.67,7601.1,5773.97
51,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,19959,SANTA BARBARA COTTAGE HOSPITAL,1007 GOODYEAR AVENUE,SUN CITY,PA,63427,CT - Hartford,25,21603.55,6699.29,5625.4
52,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,332507,GOOD SAMARITAN HOSPITAL OF SUFFERN,405 GRAND AVENUE,MERIDIAN,TX,22619,TX - San Antonio,40,28897.56,5402.77,3810.01
53,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,211446,CEDARS-SINAI MEDICAL CENTER,ONE GENESYS PARKWAY,ELMIRA,LA,26890,TX - Dallas,21,37261.37,5522.13,5625.92
54,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,80536,ST ALPHONSUS REGIONAL MEDICAL CENTER,400 SOUTH SANTA FE AVENUE,HATTIESBURG,NC,46894,OH - Dayton,39,23042.62,6018.63,4534.83
55,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,454486,OAK HILL HOSPITAL,4888 NORTH STONE AVENUE,ORANGE PARK,VA,53965,LA - Baton Rouge,78,9801.57,5947.97,3986.46
56,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,37623,OLATHE MEDICAL CENTER,18101 OAKWOOD BLVD,WAYCROSS,FL,91230,OH - Toledo,56,47864.61,6513.4,5491.51
57,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,119990,ALPENA REGIONAL MEDICAL CENTER,269 SOUTH CANDY LANE,BEAUFORT,OR,44981,LA - Houma,44,20604.11,6210.94,6461.63
58,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,334945,THREE RIVERS COMMUNITY HOSPITAL,333 BORTHWICK AVE,FLAGSTAFF,VA,51168,IN - Indianapolis,22,18917.13,5574.08,4480.64
59,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,482656,SHORE MEDICAL CENTER,ONE RIVERVIEW PLAZA,FORT WORTH,AZ,40829,WA - Spokane,25,19092.89,5217.11,4981.47
60,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,202476,"LOUISIANA MEDICAL CENTER AND HEART HOSPITAL, LLC",5301 E HURON RIVER DR,PUNTA GORDA,TN,65951,PA - Lancaster,57,14590.97,7764.37,6256.67
61,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,223765,MAIMONIDES MEDICAL CENTER,11133 DUNN ROAD,BEVERLY,NY,88830,OR - Portland,19,45099.95,5391.7,4279.93
62,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,243412,REID HOSPITAL & HEALTH CARE SERVICES,2400 E 17TH ST,CLINTON TOWNSHI,IN,87129,CA - Bakersfield,47,10266.93,5423.21,5003.68
63,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,221286,SENTARA NORFOLK GENERAL HOSPITAL,2900 W OKLAHOMA AVE,GARDEN CITY,OH,63357,GA - Augusta,16,26333.77,5121.91,4313.35
64,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,324804,RHODE ISLAND HOSPITAL,6401 FRANCE AVENUE SOUTH,BREMERTON,PA,38312,RI - Providence,51,8709.85,5740.74,4165.58
65,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,251590,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1900 SOUTH MAIN STREET,BURLINGTON,NY,55163,IN - Indianapolis,34,40906.06,5761.45,4329.19
66,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,199808,CAPE CORAL HOSPITAL,400 N STATE OF FRANKLIN RD,TRENTON,OH,42071,TN - Kingsport,16,55332.36,8916.95,7544.49
67,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,241888,"NORTON HOSPITALS, INC",4200 SUN N' LAKE BLVD,BRIDGEPORT,NJ,96434,NJ - Camden,21,38385.86,5663.14,4184.53
68,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,89381,TERRE HAUTE REGIONAL HOSPITAL,757 WESTWOOD PLAZA,HICKORY,OH,84210,GA - Atlanta,12,48636.79,6635.48,5642.7
69,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,183689,SWEDISH COVENANT HOSPITAL,1500 E SHERMAN BOULEVARD,BRONX,PA,52731,NC - Durham,41,53274.41,9866.67,7489.54
70,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,281926,TEXAS HEALTH HARRIS METHODIST FORT WORTH,1441 NORTH BECKLEY AVENUE,BELLEVUE,VA,57618,TN - Nashville,17,51395.8,7248.11,5132.4
71,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,248763,ALEXIAN BROTHERS MEDICAL CENTER,501 SOUTH BUENA VISTA,STUART,VA,52482,MI - Ann Arbor,18,41188.54,6850.83,6678.97
72,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,171973,COLISEUM MEDICAL CENTER,1055 SAXON BLVD,EVERETT,SC,84845,IL - Elgin,27,34424.87,5222.8,3724.17
73,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,129935,ST TAMMANY PARISH HOSPITAL,1414 S KUHL AVE,POCATELLO,NY,74052,FL - Tallahassee,44,32003.1,8049.23,6737.05
74,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,248371,FRANCISCAN ST MARGARET HEALTH - DYER,3601 NORTH WEBB ROAD,MUNCIE,CA,35704,WI - La Crosse,45,17467.21,5883.69,5812.46
75,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,439466,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1034 NORTH 500 WEST,NASHVILLE,NH,75180,IA - Waterloo,25,25360.24,7932.93,6808.22
76,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,36430,PALMETTO HEALTH RICHLAND,205 MARENGO STREET,TUCSON,WV,60072,MI - Detroit,26,42841.29,5665.07,3702.71
77,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,172738,HENDRICK MEDICAL CENTER,250 SOUTH 21ST STREET,SACRAMENTO,WI,70004,OH - Columbus,33,47420.62,5831.16,3816.24
78,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,393820,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",9352 PARK WEST BLVD,ELMIRA,IL,26511,NJ - New Brunswick,44,37241.66,5502.34,4839.55
79,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,159599,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,900 EAST OAK HILL AVENUE,MARYVILLE,FL,83986,OH - Columbus,23,74876.74,6451.82,6387.08
80,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,90955,ST JOSEPH MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HOUSTON,CA,78336,SC - Florence,18,101613.92,9104.49,5300.65
81,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,98348,PORT HURON HOSPITAL,1441 FLORIDA AVENUE,DOTHAN,CT,30052,OH - Elyria,17,25816.39,7835.1,5778.86
82,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,225401,PORT HURON HOSPITAL,800 W BIESTERFIELD RD,CHATTANOOGA,OR,13219,TX - Houston,59,18182.37,7707.23,5598.28
83,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,453507,ST CATHERINE OF SIENA HOSPITAL,335 GLESSNER AVENUE,JONESBORO,MO,75670,NC - Wilmington,40,20767.06,6529.66,5882.12
84,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,136073,ST LUKE'S HOSPITAL BETHLEHEM,800 GARFIELD AVE,NORMAL,AZ,88314,FL - Bradenton,19,39202.56,6547.82,4683.85
85,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,54987,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,1124 WEST 21ST STREET,TUALATIN,NC,10232,FL - Orlando,29,17541.75,5643.31,3755.34
86,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,403727,CARROLL HOSPITAL CENTER,410 DARLING AVENUE,PARADISE,NY,37854,MD - Baltimore,41,8599.07,7986.9,6072.72
87,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,189810,ST DAVIDS MEDICAL CENTER,3001 ST ROSE PARKWAY,SAINT PAUL,TN,39458,VA - Richmond,74,20935.51,8395.05,6680.49
88,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,326396,HACKENSACK UNIVERSITY MEDICAL CENTER,2315 STOCKTON BOULEVARD,BELLEVUE,OH,95204,IL - Blue Island,26,59261.78,8223.52,5696.35
89,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,98025,MARIAN MEDICAL CENTER,705 DIXIE STREET,VALHALLA,KY,50241,AL - Mobile,19,56228.97,5789.32,4837.36
90,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,326467,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,1003 WILLOW CREEK ROAD,TUALATIN,IN,59431,LA - Slidell,30,29693.24,5138.31,3764.24
91,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,234580,UPPER CHESAPEAKE MEDICAL CENTER,801 POLE LINE ROAD WEST,SAFETY HARBOR,IN,5819,AL - Mobile,47,20131.22,5400.08,3983.61
92,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,62447,RIVERVIEW HOSPITAL,"5900 BYRON CENTER AVENUE, SW",ROCK ISLAND,NJ,47341,GA - Macon,41,27047.94,5189.77,3858.07
93,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,443149,MEDICAL CENTER HOSPITAL,ONE RIVERVIEW PLAZA,FRAMINGHAM,AL,15772,LA - Metairie,29,8493.15,8327.53,6170.14
94,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,324791,GLENWOOD REGIONAL MEDICAL CENTER,ONE RIVERVIEW PLAZA,WYANDOTTE,CA,22171,TX - Houston,12,15540.21,7764.17,5455.71
95,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,448153,RUSH FOUNDATION HOSPITAL,602 INDIANA AVENUE,EL PASO,NJ,70638,NC - Charlotte,44,13167.23,9370.0,6633.94
96,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,332132,HILLCREST MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,MENOMONEE FALLS,GA,33565,GA - Albany,20,25977.14,8037.42,6899.69
97,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,65541,JACKSON-MADISON COUNTY GENERAL HOSPITAL,7050 GALL BLVD,NOBLESVILLE,TN,55339,AR - Springdale,35,15664.36,5242.81,4166.37
98,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,142860,JOHNSON CITY MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,KISSIMMEE,TX,11014,AL - Dothan,89,33399.03,6538.67,5320.31
99,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,262411,GOOD SAMARITAN REGIONAL HLTH CENTER,200 HAWKINS DRIVE,MOUNT VERNON,OH,68085,FL - Fort Myers,34,33713.33,5080.51,3661.34
100,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,162356,DANVILLE REGIONAL MEDICAL CENTER,9330 SR 54,LAS VEGAS,MD,36915,FL - Miami,36,12307.66,7349.07,4834.03
101,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,197898,SOUTHEASTERN REGIONAL MEDICAL CENTER,2000 NEUSE BLVD,DANVILLE,CA,61715,KY - Lexington,37,40679.27,8605.89,8104.8
102,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,586150,MEDCENTER ONE,1111 HAYES AVENUE,ATLANTA,NH,20730,FL - Fort Myers,68,13928.3,7094.49,4578.89
103,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,254862,BAPTIST MEMORIAL HOSPITAL NORTH MS,147 N BRENT ST,MILWAUKEE,CO,69828,UT - Salt Lake City,36,21570.66,6813.57,3956.98
104,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,293326,"MEDICAL CENTER OF AURORA, THE",6019 WALNUT GROVE ROAD,ATLANTA,NY,36889,CA - Redding,46,48124.98,7861.24,6723.42
105,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,78608,NYU HOSPITALS CENTER,1100 NINTH AVENUE (PO BOX 900),DECATUR,TX,98297,WI - Milwaukee,65,34510.07,6509.12,5338.62
106,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,264464,ST LUKE'S THE WOODLANDS HOSPITAL,1224 TROTWOOD AVE,HOUSTON,OH,34676,OH - Columbus,28,13969.28,7033.64,4574.39
107,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,348296,PRESBYTERIAN HOSPITAL,1101 NOTT STREET,SPRINGFIELD,PA,44996,MO - St. Louis,23,18737.41,8436.07,6248.02
108,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,198248,BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,601 SOUTH 8TH STREET,ROWLETT,TN,22460,TX - Dallas,54,9470.56,5733.2,4136.49
109,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,349854,MONTGOMERY HOSPITAL,55 FRUIT STREET,ANNISTON,TN,62825,MI - Royal Oak,50,18088.04,5150.66,4378.98
110,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,95049,BEAUFORT COUNTY MEMORIAL HOSPITAL,1001 SOUTH GEORGE STREET,MOUNTAIN HOME,KY,67106,NV - Las Vegas,17,50183.2,6569.44,5532.94
111,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,123888,CENTRAL FLORIDA REGIONAL HOSPITAL,3100 CHANNING WAY,TEXARKANA,KY,17872,FL - Miami,50,14117.06,11399.2,8377.4
112,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,595651,VALLEY HOSPITAL,4605 MACCORKLE AVE SW,ALBUQUERQUE,FL,65210,IN - Indianapolis,13,62419.61,10530.06,7422.57
113,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,276323,RAPIDES REGIONAL MEDICAL CENTER,3815 HIGHLAND AVENUE,TEXARKANA,MA,6840,CO - Grand Junction,71,37333.54,5655.33,3731.38
114,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,158973,ALEXIAN BROTHERS MEDICAL CENTER,300 RANDALL RD,NORTH KANSAS CI,SC,4573,WI - Appleton,34,13883.61,5432.86,4665.76
115,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,253028,BAPTIST MEMORIAL HOSPITAL DESOTO,1321 COLBY AVENUE,OCALA,CA,34577,GA - Augusta,16,42696.25,7355.18,6637.42
116,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,22708,VENICE REGIONAL MEDICAL CENTER,1161 21ST AVENUE SOUTH,SUFFERN,FL,91062,WI - Milwaukee,51,77551.49,5827.53,3849.38
117,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,268765,YALE-NEW HAVEN HOSPITAL,410 S 11TH ST,RIDGEWOOD,SC,58314,OH - Cincinnati,32,46832.93,6289.98,5842.61
118,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,510137,FAWCETT MEMORIAL HOSPITAL,3231 MCMULLEN BOOTH RD,FALLS CHURCH,FL,4789,CO - Colorado Springs,29,43733.45,7206.88,5408.92
119,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,362523,SENTARA NORFOLK GENERAL HOSPITAL,1920 ATHERHOLT ROAD,NORTH RICHLAND,WI,89089,ME - Bangor,38,29616.54,5681.49,5633.65
120,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,270760,GOOD SAMARITAN HOSPITAL OF SUFFERN,100 MADISON AVE,PITTSBURGH,TN,55742,SC - Florence,36,15564.39,5742.44,4393.32
121,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,72984,TAMPA GENERAL HOSPITAL,7300 MEDICAL CENTER DR,TUPELO,NM,39152,PA - Lancaster,15,48267.87,7055.13,7143.92
122,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,483585,BAYLOR MEDICAL CENTER AT IRVING,164 SUMMIT AVENUE,YAKIMA,CA,84779,KS - Wichita,73,19040.8,5029.89,3626.94
123,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,584932,HALIFAX HEALTH MEDICAL CENTER,14000 FIVAY ROAD,LUMBERTON,NY,15277,TN - Nashville,45,15916.33,4978.55,3618.5
